CO_UNIDADE;NO_UNIDADE
800;IBIUNA, SP
801;NOVO HORIZONTE, SP
802;QUATA, SP
803;CRUZEIRO DO SUL, AC
804;LUZIANIA, GO
805;CURRAIS NOVOS, RN
806;SANTA CRUZ INHARE, RN
807;CAMETA, PA
809;TIMBO, SC
810;BARAO DE JARAGUA, AL
811;ITABORAI, RJ
812;PETROLINA, PE
813;UNIVERSIDADE TECNOLOGICA, PR
814;CEFET, MG
815;MINAS SHOPPING, MG
816;210 SUL, DF
817;CLAUDIO, MG
818;SESC, MG
820;BRAZ DE AGUIAR, PA
821;UFMG, MG
823;JUCUTUQUARA, ES
824;SESI, PR
827;BAIRRO RESTINGA, RS
829;JUSTICA FEDERAL VITORIA, ES
830;JUSTICA FEDERAL PORTO VELHO, RO
831;NOVA ARUJA, SP
836;UFCG, PB
839;MARECHAL MASCARENHAS, RJ
840;FAROL, AL
841;SENAC, MG
843;FACULDADE DE ENGENHARIA, MG
844;CACHOEIRINHA, RS
846;GUAPORE, RS
847;STJ, DF
849;SAO MIGUEL DOS CAMPOS, AL
850;MARATAIZES, ES
851;CAMPOS NOVOS, SC
852;INDAIAL, SC
853;URUSSANGA, SC
854;SINOP, MT
855;JOQUEI CLUBE, PI
856;IFSUL, RS
857;UFMS, MS
859;ITABERAI, GO
860;PAULINIA, SP
861;LAGOA DA CONFUSAO, TO
863;MINISTERIO DO PLANEJAMENTO, DF
865;NOVA ESPERANCA, PR
866;PROPRIA, SE
867;SHOPPING CENTER RECIFE, PE
870;CACERES, MT
871;MINEIROS, GO
872;SENAC, PR
873;TERRA BELA, PR
875;MINISTERIO DA DEFESA, DF
876;SAO LOURENCO DA MATA, PE
877;TIMBAUBA, PE
878;MAFRA, SC
879;PRAIA DE FORA, SC
880;VILA RUBIM, ES
881;GUARAPARI, ES
882;SERRA, ES
883;BATISTA CAMPOS, PA
885;VER-O-PESO, PA
886;PONTA PORA, MS
887;ANGRA DOS REIS, RJ
888;ARARUAMA, RJ
889;ALCANTARA, RJ
890;MONTE ALTO, SP
891;FORUM TRABALHISTA CURITIBA, PR
892;BETIM, MG
893;CONTAGEM, MG
894;CORONEL FABRICIANO, MG
895;MANHUMIRIM, MG
896;MANTENA, MG
897;INDAIATUBA, SP
898;CASTANHAL, PA
899;CIDADE DE LEME, SP
900;IGARAPAVA, SP
901;PARAGUACU PAULISTA, SP
902;SAO MANUEL, SP
903;REGISTRO, SP
